Ks,Cs,SpeedBumpScore,PotholeScore,RoughRoadScore,OverallScore
21000,1200,2.00496983261784,2.00843015184316,1.81067446632112,1.94135815026071
18000,1200,2.00649501935,2.04907969763591,1.80569405339953,1.95375625679515
15000,1200,2.00983366735126,2.0920371412299,1.80091591147628,1.96759557335248
21000,1500,2.0004158954451,1.97609961986434,2.00309764156697,1.99320438562547
18000,1500,2,2,2,2
15000,1500,2.00283080883393,2.01923042425852,1.99579364306934,2.00595162538726
21000,1800,2.02072221253905,1.96497760335863,2.19228518921592,2.05932833503787
18000,1800,2.02195523135087,1.9841093676263,2.1903196242584,2.06546140774519
15000,1800,2.02226916763483,1.99513913660888,2.18560438101517,2.06767089508629
